Item_Number,Condition,TrialType,SentenceType,Sentence,List
101,Speaker_Error,filler,filler,The helicopter hovered over the water.,3
102,Speaker_Error,filler,filler,Some of the woman's cats were scared of dogs but most of them weren't.,3
103,Speaker_Error,filler,filler,The first-graders liked their teacher because she used games to teach them how to read.,3
104,Speaker_Error,filler,filler,The grandmother made a quilt for her granddaughter.,3
105,Speaker_Error,filler,filler,The travel agent reserved a flight for the businessman.,3
106,Speaker_Error,filler,filler,A cat jumped onto the table.,3
107,Speaker_Error,filler,filler,The apprentice fetched a hammer for the carpenter.,3
108,Speaker_Error,filler,filler,The painting hung on the bedroom wall.,3
109,Speaker_Error,filler,filler,Some treasure was found in the cave.,3
110,Speaker_Error,filler,filler,The name was engraved on the ring.,3
111,Speaker_Error,filler,filler,The cheerleader was treated by a doctor who had been watching the game.,3
112,Speaker_Error,filler,filler,The baby crawled into the hallway.,3
113,Speaker_Error,filler,filler,The train arrived at the station.,3
114,Speaker_Error,filler,filler,The seamstress made a dress for her client.,3
115,Speaker_Error,filler,filler,The father bought a bicycle for his son.,3
116,Speaker_Error,filler,filler,The hiker was rescued by a ranger who had been on patrol.,3
117,Speaker_Error,filler,filler,The ballet instructor encouraged her students to practice more.,3
118,Speaker_Error,filler,filler,The lawyer was insulted by the judge.,3
119,Speaker_Error,filler,filler,A flowering plant is on the window sill.,3
120,Speaker_Error,filler,filler,The secretary ordered some office supplies for the boss.,3
121,Speaker_Error,filler,filler,The runner trained for months before the marathon.,3
122,Speaker_Error,filler,filler,The TA was criticized by the professor.,3
123,Speaker_Error,filler,filler,The athlete was treated by a nurse who had been listening to music.,3
124,Speaker_Error,filler,filler,The marathoner ran into the stadium.,3
125,Speaker_Error,filler,filler,The receptionist saved some cake for her co-worker.,3
126,Speaker_Error,filler,filler,The dog trainer taught the puppy to roll over.,3
127,Speaker_Error,filler,filler,The astronaut accepted the mission.,3
128,Speaker_Error,filler,filler,The girl was pushed by the boy.,3
129,Speaker_Error,filler,filler,The defendant's name was written on the check.,3
130,Speaker_Error,filler,filler,The bank robber spent thirty minutes cracking the code for the safe.,3
