Trial,Item_Number,Condition,Type,Sentence,Question,Literal_Answer,List
1,1,filler_other,filler_plausible,The professor conducted an inquiry into the status of the file.,Did the professor conduct someone/something?,Yes,0
2,2,filler_other,filler_plausible,The commissioner wrote a report for the chairman.,Did the commissioner write someone/something?,Yes,0
3,3,filler_other,filler_plausible,The terrorist assassinated the newsman in cold blood.,Did the terrorist kill someone/something?,Yes,0
4,4,filler_other,filler_plausible,A legislator lied to the consultant about a new bill.,Did the legislator lie about someone/something?,Yes,0
5,5,filler_other,filler_plausible,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,Yes,0
6,6,filler_other,filler_plausible,The spy monitored a baroness for several months.,Did the spy watch someone/something?,Yes,0
7,7,filler_other,filler_plausible,The witch was hanged by an executioner promptly at dawn.,Did the executioner hang someone/something?,Yes,0
8,8,filler_other,filler_plausible,The pianist met with a beautician to prepare for her recital.,Did the pianist meet with someone/something?,Yes,0
9,9,filler_other,filler_plausible,A socialite was greeted by the butler with a plate of caviar.,Did the butler greet someone/something?,Yes,0
10,10,filler_other,filler_plausible,The pirate stole the booty from an officer.,Did the pirate steal someone/something?,Yes,0
11,11,filler_other,filler_plausible,The colonel was knighted by the queen because of his loyalty.,Did the queen knight someone/something?,Yes,0
12,12,filler_other,filler_plausible,The spokesman toasted a muffin for the agent after the early morning appointment.,Did the spokesman do something for someone/something?,Yes,0
13,13,filler_other,filler_plausible,The supplier described a scenario for the class after explaining basic concepts.,Did the supplier explain someone/something?,Yes,0
14,14,filler_other,filler_plausible,A bystander was rescued by the fireman in the nick of time.,Did the fireman rescue someone/something?,Yes,0
15,15,filler_other,filler_plausible,The defendant misled a juryman when she said that she worked for the government.,Was the juryman misled by someone/something?,Yes,0
16,16,filler_other,filler_plausible,The translator found a car for the ambassador because he could not speak Lebanese.,Was a car found for someone/something?,Yes,0
17,17,filler_other,filler_plausible,The acrobat respected the ballerina because she went to Juilliard.,Was the ballerina respected by someone/something?,Yes,0
18,18,filler_other,filler_plausible,The principal commended a parent for her ability to motivate her child.,Was the parent commended by someone/something?,Yes,0
19,19,filler_other,filler_plausible,The robot killed a scientist before escaping from the laboratory.,Did the robot escape from someone/something?,Yes,0
20,20,filler_other,filler_plausible,The preacher irritated a parishioner because she was used to shorter sermons.,Was the parishioner irritated by someone/something?,Yes,0
21,21,filler_other,filler_plausible,The presenter was criticized by a legislator because of his speech impediment.,Did the presenter criticize someone/something?,No,0
22,22,filler_other,filler_plausible,An analyst angered the economist after he interrupted a phone conference five times.,Was the analyst angered by someone/something?,No,0
23,23,filler_other,filler_plausible,The advisee opened a file for the visitor with some trepidation.,Was the file closed by someone/something?,No,0
24,24,filler_other,filler_plausible,The choreographer found a film starring the lead in the musical.,Was the musical found by someone/something?,No,0
25,25,filler_other,filler_plausible,The playwright selected the understudy because of his resemblance to the lead actor.,Did the understudy receive someone/something?,No,0
26,26,filler_other,filler_plausible,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,No,0
27,27,filler_other,filler_plausible,The runner filled a bottle with cold tap water.,Did the runner receive someone/something?,No,0
28,28,filler_other,filler_plausible,The sculptor brought a shell from the ocean floor.,Did the shell receive someone/something?,No,0
29,29,filler_other,filler_plausible,The dealer shuffled the deck before distributing the cards.,Did the cards receive someone/something?,No,0
30,30,filler_other,filler_plausible,The trainer filled a bag with ice for the injured client.,Did the trainer receive someone/something?,No,0
31,31,filler_other,filler_plausible,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,Did the cameraman volunteer to film someone/something?,No,0
32,32,filler_other,filler_plausible,The rioter stapled the sign to a bulletin board in the corridor.,Did the rioter receive someone/something?,No,0
33,33,filler_other,filler_plausible,The paramedic helped an invalid into the brick building,Did the paramedic receive someone/something?,No,0
34,34,filler_other,filler_plausible,The trucker ordered a bartender to bring him a beer.,Did the bartender receive someone/something?,No,0
35,35,filler_other,filler_plausible,The performer lifted the acrobat onto her shoulders gracefully.,Did the acrobat receive someone/something?,No,0
36,36,filler_other,filler_plausible,The archivist found a document dating back to the Nixon administration.,Did the archivist receive someone/something?,No,0
37,37,filler_other,filler_plausible,The intern begged a programmer to edit the program because it was due the next day.,Did the intern receive someone/something?,No,0
38,38,filler_other,filler_plausible,The surgeon called for a nurse to assist him with the operation.,Did the nurse receive someone/something?,No,0
39,39,filler_other,filler_plausible,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,Did the beekeeper eat someone/something?,No,0
40,40,filler_other,filler_plausible,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,No,0
