Item_Number,Condition,TrialType,SentenceType,Sentence,List
101,Speaker_Error,filler,filler,The helicopter hovered over the water.,4
102,Speaker_Error,filler,filler,Some of the woman's cats were scared of dogs but most of them weren't.,4
103,Speaker_Error,filler,filler,The first-graders liked their teacher because she used games to teach them how to read.,4
104,Speaker_Error,filler,filler,The grandmother made a quilt for her granddaughter.,4
105,Speaker_Error,filler,filler,The travel agent reserved a flight for the businessman.,4
106,Speaker_Error,filler,filler,A cat jumped onto the table.,4
107,Speaker_Error,filler,filler,The apprentice fetched a hammer for the carpenter.,4
108,Speaker_Error,filler,filler,The painting hung on the bedroom wall.,4
109,Speaker_Error,filler,filler,Some treasure was found in the cave.,4
110,Speaker_Error,filler,filler,The name was engraved on the ring.,4
111,Speaker_Error,filler,filler,The cheerleader was treated by a doctor who had been watching the game.,4
112,Speaker_Error,filler,filler,The baby crawled into the hallway.,4
113,Speaker_Error,filler,filler,The train arrived at the station.,4
114,Speaker_Error,filler,filler,The seamstress made a dress for her client.,4
115,Speaker_Error,filler,filler,The father bought a bicycle for his son.,4
116,Speaker_Error,filler,filler,The hiker was rescued by a ranger who had been on patrol.,4
117,Speaker_Error,filler,filler,The ballet instructor encouraged her students to practice more.,4
118,Speaker_Error,filler,filler,The lawyer was insulted by the judge.,4
119,Speaker_Error,filler,filler,A flowering plant is on the window sill.,4
120,Speaker_Error,filler,filler,The secretary ordered some office supplies for the boss.,4
121,Speaker_Error,filler,filler,The runner trained for months before the marathon.,4
122,Speaker_Error,filler,filler,The TA was criticized by the professor.,4
123,Speaker_Error,filler,filler,The athlete was treated by a nurse who had been listening to music.,4
124,Speaker_Error,filler,filler,The marathoner ran into the stadium.,4
125,Speaker_Error,filler,filler,The receptionist saved some cake for her co-worker.,4
126,Speaker_Error,filler,filler,The dog trainer taught the puppy to roll over.,4
127,Speaker_Error,filler,filler,The astronaut accepted the mission.,4
128,Speaker_Error,filler,filler,The girl was pushed by the boy.,4
129,Speaker_Error,filler,filler,The defendant's name was written on the check.,4
130,Speaker_Error,filler,filler,The bank robber spent thirty minutes cracking the code for the safe.,4
